,feature_importance
ETL_stack_sequence_PCBM-60 ,0.0022400080066186253
Cell_semitransparent_False,0.002238202886326514
HTL_additives_compounds_FK209; Li-TFSI; TBP,0.0022065318371386135
Perovskite_pl_max_770.0,0.0021517750474472756
ETL_deposition_procedure_Spray-pyrolys ,0.0021502224542897957
dev_polarizability(A^3),0.002140690070744014
Perovskite_deposition_thermal_annealing_temperature_Unknown >> 150.0,0.0020974215914711155
Perovskite_deposition_solvents_DMF; GBL,0.002063625100521165
HTL_stack_sequence_NiO-c,0.001961226394483074
Perovskite_band_gap_estimation_basis_Composition,0.0019383484160786382
HTL_additives_compounds_Undoped,0.0019263489666846685
Perovskite_deposition_quenching_media_Chlorobenzene,0.0019257325278077425
dev_Allred-Rockow_electronegativity,0.001840771751010699
ETL_stack_sequence_ BCP,0.001825572148215207
avg_Boiling_Point_(K),0.001824073726214261
ETL_stack_sequence_ZnO-c ,0.0018094731324969039
ETL_deposition_procedure_ Evaporation,0.0018034515805104997
Perovskite_deposition_thermal_annealing_time_5.0,0.0017864316500179659
Cell_architecture_nip,0.001746943733711999
HTL_additives_compounds_TBP,0.0017394220656576657
Perovskite_deposition_thermal_annealing_temperature_100,0.0016973155468382928
dev_Covalent_Radius,0.0016599785820478328
dev_Gordy_electonegativity,0.001652132599997272
ETL_stack_sequence_ [BMIM]BF4,0.0016519585799635468
Perovskite_deposition_procedure_Spin-coating,0.0016494057165820127
ETL_deposition_procedure_Spray-pyrolys,0.0016012758515809233
Substrate_stack_sequence_ rGO,0.0016010600682663757
Perovskite_composition_none_stoichiometry_components_in_excess_PbI2,0.0015986911754560984
avg_Number_of_unfilled_d_valence_electrons,0.001595469398995052
dev_heat_atomization(kJ/mol),0.0015844253539894942
dev_Pauling_Electronegativity,0.0015789299851343397
HTL_deposition_procedure_Evaporation,0.0015682691237456359
Perovskite_deposition_solvents_mixing_ratios_9; 1,0.0015612748816556442
Cell_architecture_pin,0.001557131556336825
ETL_deposition_procedure_CBD,0.001514718410824972
avg_Pauling_Electronegativity,0.0015129990028889878
Perovskite_deposition_thermal_annealing_time_20.0,0.0014922499690676755
ETL_stack_sequence_ZnO-np,0.0014770856646530168
Perovskite_deposition_solvents_Unknown,0.0014565376258383685
Perovskite_deposition_solvents_mixing_ratios_3; 7,0.0014473838399124406
Substrate_stack_sequence_SLG ,0.001443544641596343
avg_heat_of_fusion_(kJ/mol)_,0.0014017770831425043
Perovskite_deposition_thermal_annealing_time_45.0,0.001391178987244355
avg_valence_d,0.0013834913689927788
HTL_deposition_procedure_ Spin-coating,0.0013620530403397866
ETL_stack_sequence_SnO2-np,0.0013562919572404322
dev_1st_ionization_potential_(kJ/mol),0.0013440735048420602
ETL_deposition_procedure_ALD,0.0013089437980300486
HTL_stack_sequence_NiO-mp,0.0012923288238571669
dev_Zunger_radii_sum,0.0012864652346673538
Perovskite_deposition_solvents_DMSO; GBL,0.0012714997099132863
ETL_stack_sequence_ C60,0.0012445047561989977
Perovskite_composition_none_stoichiometry_components_in_excess_MAI,0.0012439411252946504
Perovskite_deposition_procedure_Spin-coating >> CBD,0.0012421073545017727
ETL_deposition_procedure_Pulsed laser deposition,0.0012257918119078603
Perovskite_deposition_quenching_media_Diethyl ether,0.001215464316461418
Perovskite_band_gap_1.55,0.0012102199594072102
avg_Allred-Rockow_electronegativity,0.001203007725348915
Perovskite_deposition_thermal_annealing_temperature_90.0,0.0011985156962287604
HTL_deposition_procedure_Spin-coating ,0.0011892199634242235
avg_heat_atomization(kJ/mol),0.0011881668961447138
ETL_stack_sequence_C60 ,0.0011721923919045538
HTL_additives_compounds_Unknown ,0.001151625596253327
Perovskite_deposition_solvents_DMF >> IPA,0.0011474975200309614
dev_Mulliken_EN,0.0011210916375150408
dev_Atomic_Number,0.0011180415330997828
Perovskite_deposition_thermal_annealing_time_2.0,0.0011179338257297443
Perovskite_deposition_solvents_mixing_ratios_2; 3,0.0011171159055620437
Perovskite_deposition_synthesis_atmosphere_Ar,0.0011139083042238887
dev_Cohesive_energy,0.0011025933520454213
dev_ionic_radius,0.0011015556799932546
Perovskite_deposition_synthesis_atmosphere_N2 >> N2,0.001092025133691584
HTL_stack_sequence_Cu2O,0.0010818486791877916
Perovskite_band_gap_1.5,0.0010664126306016513
Perovskite_pl_max_775.0,0.0010556894839253647
ETL_deposition_procedure_Evaporation ,0.0010358045355995944
Perovskite_deposition_thermal_annealing_time_Unknown >> 60.0,0.0010343453939925475
Perovskite_deposition_solvents_DMSO,0.0010337127262790026
ETL_additives_compounds_Unknown ,0.0010087395354289493
HTL_stack_sequence_CuI,0.0010077915290374756
dev_heat_of_vaporization_(kJ/mol)_,0.000997313972240735
HTL_stack_sequence_PTPD ,0.0009885351673384988
Perovskite_deposition_thermal_annealing_temperature_Unknown >> 100.0,0.0009703680038655692
avg_specific_heat_(J/g_K)_,0.0009651854744932323
Perovskite_deposition_synthesis_atmosphere_Air >> Air,0.0009636836594163237
avg_heat_of_vaporization_(kJ/mol)_,0.0009563392348216476
avg_polarizability(A^3),0.0009560486408801322
ETL_stack_sequence_ZnO-c,0.0009541814926748841
Perovskite_pl_max_760.0,0.000954113921138277
Perovskite_deposition_procedure_Ultrasonic spray >> Ultrasonic spray,0.0009528566784383173
Perovskite_deposition_thermal_annealing_time_Unknown >> 10.0,0.0009503916359651675
avg_Mulliken_EN,0.0009279708933552667
Perovskite_additives_concentrations_0.1,0.0008865560862345551
avg_metallic_valence,0.0008823158149497746
dev_MB_electonegativity,0.0008546015569402024
ETL_stack_sequence_ BCP ,0.0008415658568502592
dev_specific_heat_(J/g_K)_,0.0008411872722102027
avg_Gordy_electonegativity,0.0008394972368623016
Perovskite_deposition_solvents_mixing_ratios_1; 1,0.0008318134994699261
Perovskite_deposition_aggregation_state_of_reactants_Liquid >> Liquid,0.0008289608310785632
Perovskite_deposition_thermal_annealing_time_40.0,0.0008276540658604322
Perovskite_deposition_thermal_annealing_temperature_110.0,0.0008208809649393259
avg_Mendeleev_Number,0.00081148253103537
ETL_stack_sequence_ C60 ,0.0008109071209480437
dev_group,0.0008020492257234462
dev_metallic_valence,0.0008017790332512785
Perovskite_deposition_thermal_annealing_temperature_70.0,0.0008004464052969182
ETL_deposition_procedure_ Evaporation ,0.000796861503568205
dev_number_of_valence_electrons,0.0007747820464474886
ETL_stack_sequence_ZnO-np ,0.0007719227884560402
ETL_additives_compounds_ Li-TFSI,0.0007713372943236539
Backcontact_stack_sequence_Carbon ,0.0007691354362264372
Perovskite_pl_max_780.0,0.0007644923967170612
dev_Mendeleev_Number,0.0007615597738463014
ETL_stack_sequence_ PCBM-60,0.0007571641233595089
Perovskite_deposition_aggregation_state_of_reactants_Liquid,0.0007533765298210994
avg_1st_ionization_potential_(kJ/mol),0.0007520534570993222
ETL_stack_sequence_CdS,0.000749936049965326
Perovskite_deposition_thermal_annealing_time_90.0,0.0007447190600245428
Perovskite_deposition_number_of_deposition_steps_2,0.0007394916117844009
Perovskite_deposition_solvents_mixing_ratios_1 >> 1,0.0007378488457980796
ETL_deposition_procedure_ALD ,0.000735569312881366
Perovskite_deposition_solvents_mixing_ratios_1; 4,0.0007293670873392069
Perovskite_deposition_after_treatment_of_formed_perovskite_Washed with IPA,0.0007243518717901418
Cell_flexible_True,0.0007184188969021841
Cell_flexible_False,0.0007169969491690742
Perovskite_band_gap_1.61,0.0007131960982655828
Perovskite_deposition_thermal_annealing_time_30.0 >> 30.0,0.0007114004887986762
Perovskite_deposition_synthesis_atmosphere_relative_humidity_35 >> 35,0.0007076594323817547
ETL_stack_sequence_ LiF,0.0006972765982425276
Perovskite_band_gap_1.59,0.0006879005391595942
Perovskite_additives_compounds_Undoped,0.0006850335193939878
Backcontact_stack_sequence_ Ag,0.0006797799762941625
Perovskite_deposition_thermal_annealing_time_Unknown >> 20.0,0.0006777113275627856
avg_Covalent_Radius,0.0006627539408280555
dev_thermal_conductivity_(W/(m_K))_,0.0006521385645132184
ETL_deposition_procedure_ Spin-coating ,0.0006520265623128831
avg_Density_(g/mL),0.0006486463267749861
HTL_additives_concentrations_23 uL(90.9mg/mLACN); 39 uL,0.0006424599190173535
Substrate_stack_sequence_PET ,0.0006398321915560127
Perovskite_deposition_solvents_mixing_ratios_3; 1,0.0006317158857505003
Perovskite_deposition_procedure_Inkjet printing,0.0006307013526676507
Perovskite_deposition_thermal_annealing_time_Unknown >> 30.0,0.0006292710220437023
HTL_stack_sequence_ Spiro-MeOTAD,0.0006289582585195606
Encapsulation_False,0.0006288058833268526
ETL_stack_sequence_ TiO2-np,0.000623472884281719
Perovskite_deposition_thermal_annealing_temperature_70.0 >> 100.0,0.0006148787680664343
Perovskite_deposition_quenching_media_Ethyl acetate,0.000606119030926549
HTL_stack_sequence_CuSCN,0.0006056093874384484
Perovskite_composition_b_ions_ Pb,0.0006019732264311075
Perovskite_deposition_thermal_annealing_temperature_70.0 >> Unknown,0.0006017973686387604
Encapsulation_True,0.0006017358393601007
Perovskite_deposition_thermal_annealing_temperature_95; 120,0.0006005307084621543
Perovskite_deposition_thermal_annealing_temperature_95.0,0.000599674123623122
Perovskite_additives_concentrations_0.05,0.0005989373754384253
Perovskite_deposition_thermal_annealing_temperature_120.0,0.0005972328600758108
HTL_stack_sequence_TT1,0.0005960351288222782
Perovskite_deposition_number_of_deposition_steps_1,0.0005935815871014831
Perovskite_deposition_thermal_annealing_time_120.0,0.0005858051960410001
Perovskite_deposition_quenching_media_N2,0.0005811157391610239
Perovskite_deposition_thermal_annealing_time_6.0,0.0005808428082551874
Perovskite_deposition_thermal_annealing_temperature_150.0,0.0005768654796509275
HTL_additives_compounds_F4-TCNQ,0.0005766052677897082
ETL_stack_sequence_C60,0.0005737802966761814
HTL_additives_compounds_Li-TFSI,0.000570384529735676
Perovskite_composition_c_ions_I,0.0005698076651471528
Perovskite_deposition_solvent_annealing_False,0.0005681242975312447
Backcontact_stack_sequence_ SLG,0.0005674235055846831
Perovskite_deposition_solvents_mixing_ratios_7; 3,0.0005644671043193787
Perovskite_deposition_thermal_annealing_temperature_70.0 >> 70.0,0.0005631703657004347
Perovskite_additives_compounds_Unknown,0.0005631230795812644
avg_ionic_radius,0.0005535989531909437
Perovskite_deposition_solvent_annealing_True,0.0005504013581988839
Perovskite_deposition_thermal_annealing_temperature_Unknown >> 150,0.0005485527506649382
ETL_stack_sequence_ ZnO-nanospheres,0.000543859943723791
Perovskite_deposition_quenching_media_Dichloromethane,0.0005418888667791928
dev_Boiling_Point_(K),0.0005390429240632812
Backcontact_stack_sequence_Cu,0.0005370393173599056
Perovskite_deposition_quenching_media_Anisole,0.0005366613591581505
Perovskite_composition_none_stoichiometry_components_in_excess_MA,0.0005358811540660736
Perovskite_deposition_thermal_annealing_temperature_80.0,0.0005351292197378766
Perovskite_deposition_synthesis_atmosphere_relative_humidity_75,0.0005317685897333291
Backcontact_stack_sequence_MoO3 ,0.000527970549146571
Perovskite_deposition_thermal_annealing_time_15.0 >> Unknown,0.0005257098015397959
dev_Period,0.0005214820173943033
Perovskite_composition_b_ions_Pb ,0.0005210310430943453
ETL_deposition_procedure_Sputtering,0.0005157257182114622
Perovskite_deposition_thermal_annealing_temperature_130.0,0.0005154917783392354
Perovskite_deposition_thermal_annealing_time_60.0; 30.0,0.0005151132751984257
Backcontact_stack_sequence_ Al,0.0005125743676501467
Perovskite_deposition_thermal_annealing_temperature_120.0 >> 100.0,0.0005085881684561518
Backcontact_stack_sequence_Carbon,0.0004997915002582859
Perovskite_deposition_thermal_annealing_time_Unknown >> 8.0,0.00049865409682468
Perovskite_deposition_thermal_annealing_temperature_65; 100,0.0004959921198273185
avg_outer_shell_electrons,0.0004927749629720084
Perovskite_band_gap_1.56,0.000488438394672726
ETL_stack_sequence_SnO2-c ,0.00048721481868926506
dev_gilmor_number_of_valence_electron,0.00048480199979099097
ETL_additives_compounds_ TiCl4,0.00048074741353080455
HTL_deposition_procedure_Spray-pyrolys,0.00047955687922795814
HTL_stack_sequence_NiO-np,0.000478369379506343
Perovskite_deposition_synthesis_atmosphere_Dry air >> Dry air,0.0004770509816307451
Backcontact_deposition_procedure_E-beam evaporation,0.0004731843569681372
Perovskite_deposition_thermal_annealing_temperature_Unknown >> 70.0,0.0004731428369276066
ETL_stack_sequence_ Al2O3-mp,0.0004730438245731335
Perovskite_composition_c_ions_coefficients_1; 2,0.00047188103102962354
Perovskite_composition_b_ions_coefficients_1.0,0.00047040031544466474
ETL_deposition_procedure_Evaporation,0.0004677724515833658
Perovskite_band_gap_1.58,0.00045893178273916617
HTL_stack_sequence_Graphene oxide,0.0004551192668419772
Perovskite_deposition_quenching_media_Chloroform,0.0004531009877920272
HTL_stack_sequence_NiMgLiO,0.00045123277796573695
Perovskite_deposition_thermal_annealing_time_1.0,0.0004485523396028968
Perovskite_deposition_procedure_Spin-coating >> Recrystallization,0.000444797963974127
ETL_additives_compounds_ Unknown,0.00044377194050500756
dev_heat_of_fusion_(kJ/mol)_,0.00044245493112163596
dev_Melting_point_(K),0.0004414510043791121
Perovskite_deposition_thermal_annealing_temperature_100.0 >> 100.0,0.0004339571126294171
Perovskite_deposition_synthesis_atmosphere_Dry air,0.0004297078395901126
Perovskite_band_gap_2.4,0.00042946231122551246
Backcontact_stack_sequence_ Au,0.0004261241993993819
Perovskite_additives_concentrations_0.25,0.0004237865252865829
HTL_deposition_aggregation_state_of_reactants_Liquid ,0.0004190209528974369
Perovskite_additives_concentrations_0.01,0.0004170425058082688
Backcontact_deposition_procedure_ Evaporation,0.0004160118919389118
Perovskite_deposition_procedure_Spray-coating,0.0004101141822111551
Perovskite_composition_b_ions_coefficients_1,0.0004088088154604879
Perovskite_deposition_solvents_mixing_ratios_1 >> 4; 1,0.00040470829906167526
Perovskite_deposition_thermal_annealing_time_60.0 >> 30.0,0.000401079011281109
avg_Atomic_Weight,0.0003986933152205887
Perovskite_band_gap_1.621,0.00039692866600673187
ETL_stack_sequence_Corrannulene-derivative,0.00039292765106062056
ETL_deposition_procedure_Unknown,0.00039241131555232446
ETL_deposition_procedure_ Hydrothermal,0.00039239992678598556
avg_Number_of_unfilled_f_valence_electrons,0.00039096412526802056
Perovskite_pl_max_765.0,0.0003902912546683574
HTL_stack_sequence_PPyra-ACD,0.00039016581673796935
Substrate_stack_sequence_PEN ,0.0003849255593755008
HTL_stack_sequence_P3,0.0003841686564383107
ETL_stack_sequence_TiO2-np,0.00038373705554175776
ETL_stack_sequence_ ZnO-nw,0.0003832713942491126
avg_families,0.0003751622790017224
Perovskite_deposition_solvents_DMSO >> DMF; DMSO,0.00037313598312134906
Perovskite_deposition_thermal_annealing_time_Unknown >> 15.0,0.00037252714411358396
Perovskite_composition_c_ions_Br; I,0.00036901434237919013
Backcontact_stack_sequence_Au ,0.0003670369744659231
ETL_stack_sequence_MgO-c,0.00036056972848475883
avg_Period,0.0003545444750365445
avg_Atomic_Number,0.0003520434174049075
ETL_stack_sequence_PEIE ,0.0003520159240899293
HTL_stack_sequence_X59,0.00034935077899977
dev_Atomic_Radius,0.0003479045071973356
Backcontact_deposition_procedure_Sputtering,0.00034786669864614707
Perovskite_band_gap_2.43,0.00034770655194954014
HTL_stack_sequence_Y3,0.00034651045428726255
ETL_additives_compounds_TiCl4,0.00034556549888408627
ETL_deposition_aggregation_state_of_reactants_Unknown,0.00034445380193997275
Perovskite_deposition_procedure_Slot-die coating,0.00034411062627926896
Substrate_stack_sequence_ Au,0.0003419547455055663
Perovskite_pl_max_772.0,0.00034004692034185046
Perovskite_deposition_thermal_annealing_temperature_65.0,0.0003393566128924265
ETL_stack_sequence_TiO2-mp,0.0003369666859815533
Perovskite_additives_concentrations_0.03,0.00033609847079543677
avg_Atomic_Radius,0.000331874174709183
Perovskite_deposition_thermal_annealing_time_Unknown >> Unknown,0.00033156498732427243
Perovskite_additives_concentrations_3 mg/ml,0.0003313071509251135
ETL_additives_compounds_TiCl4 ,0.0003283299001166102
Perovskite_deposition_thermal_annealing_temperature_70.0 >> 90.0,0.00032818857384933517
Perovskite_additives_compounds_HI,0.00032717112060964474
Backcontact_stack_sequence_Cu; Cu2O,0.0003241135261141275
Perovskite_pl_max_767.0,0.00032396146314268636
Backcontact_deposition_procedure_Evaporation ,0.0003237467764091452
Perovskite_composition_a_ions_Cs; FA; MA,0.0003209906138276552
HTL_stack_sequence_YC-2,0.00032004744958600174
Substrate_stack_sequence_Ti,0.00031849002556119107
ETL_stack_sequence_ SnO2-np,0.00031781743275257734
Perovskite_deposition_thermal_annealing_time_20.0 >> 30.0,0.00031775747027887633
ETL_stack_sequence_ PCBSD,0.0003136714614666167
Perovskite_deposition_solvents_DMF >> Unknown,0.00031348558512705175
ETL_deposition_procedure_Hydrothermal,0.0003134189373863689
Perovskite_deposition_thermal_annealing_time_10.0 >> 10.0,0.0003130769648170375
Perovskite_deposition_thermal_annealing_time_50.0,0.0003130688573807499
max_crystal_radius,0.00031304373630746296
ETL_deposition_procedure_ Screen printing,0.0003119711875970988
Perovskite_deposition_solvents_mixing_ratios_9; 1 >> 1,0.00031194632019297317
Perovskite_deposition_thermal_annealing_temperature_110.0 >> 105.0,0.0003119382272801381
Perovskite_additives_concentrations_0.33,0.0003107028215981219
Perovskite_additives_concentrations_0.02,0.00031056168964856937
HTL_stack_sequence_PEDOT,0.00031017760512940917
HTL_stack_sequence_PEDOT:PSS ,0.00030952573231889693
HTL_additives_compounds_FK102; Li-TFSI; TBP,0.00030821568098613546
Encapsulation_stack_sequence_Unknown,0.00030697344591825
Perovskite_deposition_solvent_annealing_solvent_atmosphere_Unknown,0.0003069238455158469
ETL_stack_sequence_ NBA-SAM,0.0003062009597539199
Perovskite_deposition_thermal_annealing_time_2.0; 10.0,0.0003052069930653546
Perovskite_deposition_thermal_annealing_temperature_100.0 >> Unknown,0.0003044056176119342
Perovskite_deposition_thermal_annealing_temperature_200.0,0.00030229773500226455
ETL_deposition_procedure_Sputtering ,0.0003003372793039743
Perovskite_deposition_procedure_Electrodeposition >> CBD,0.0002990778285341074
dev_families,0.00029506987947636274
HTL_deposition_procedure_RF sputtering,0.00029392244217394016
ETL_deposition_procedure_Electrodeposition,0.0002916185948286537
ETL_stack_sequence_ TiO2-mp ,0.000291119829752062
Perovskite_band_gap_1.63,0.00029104787433397144
Perovskite_deposition_thermal_annealing_temperature_135.0,0.0002909394598592607
ETL_stack_sequence_BaSnO3-np,0.00028745522668382177
HTL_additives_compounds_Li-TFSI; SpiroTFSI2; TBP,0.00028667506593856414
Perovskite_deposition_thermal_annealing_temperature_105.0,0.0002856729337150182
ETL_deposition_procedure_Dipp-coating,0.0002851789472006029
Perovskite_deposition_solvents_mixing_ratios_6; 4,0.00028515545402768577
Perovskite_deposition_thermal_annealing_time_Unknown >> 5.0,0.00028452331694832133
Backcontact_deposition_procedure_Lamination,0.0002830422511680391
ETL_stack_sequence_ Bphen,0.00028294641384906115
Perovskite_pl_max_778.0,0.00028190434542589706
Perovskite_deposition_aggregation_state_of_reactants_Liquid >> Gas,0.0002816807620103595
ETL_stack_sequence_Fullerene-2c,0.00028134011412789115
Perovskite_deposition_thermal_annealing_temperature_Unknown >> 100,0.00028115582143869186
Perovskite_deposition_thermal_annealing_time_15.0 >> 10.0,0.0002795401717908877
ETL_stack_sequence_ ICBA,0.0002782000921010873
ETL_stack_sequence_ ZnO-np,0.000277604631696724
Backcontact_stack_sequence_ FTO ,0.00027682205014787606
Perovskite_additives_compounds_Acetate; Cl,0.00027554791767570833
ETL_deposition_thermal_annealing_temperature_ 100,0.00027402505967845495
Perovskite_deposition_thermal_annealing_time_5.0 >> 5.0,0.00027344668706606116
Perovskite_additives_concentrations_1.5 wt%,0.0002717004984852948
Perovskite_deposition_thermal_annealing_temperature_Unknown >> 160.0,0.0002715623558322012
HTL_stack_sequence_TPA-BPFN-TPA,0.00027155708801101234
ETL_stack_sequence_1-ethyl-3-methylimidazolium iodide,0.000270080270610867
HTL_deposition_procedure_Pulsed laser deposition,0.0002698657823608989
Perovskite_additives_concentrations_0.003; 0.05,0.0002697868090778499
HTL_stack_sequence_PTB7,0.0002677030302732801
HTL_stack_sequence_NiO,0.0002665781051649794
ETL_stack_sequence_ TmPyPB,0.0002661453128433265
HTL_stack_sequence_NP1,0.0002660950221493492
Perovskite_deposition_thermal_annealing_temperature_Unknown >> 90.0,0.00026581652130734
max_Zunger_radii_sum,0.00026084592642105543
Backcontact_deposition_procedure_Doctor blading,0.00026030860506448495
Perovskite_deposition_solvents_DMF >> none,0.0002597180295525486
dev_l_quantum_number,0.0002586805010717816
Cell_architecture_Back contacted,0.0002578606289856686
dev_valence_s,0.000256723447985789
ETL_stack_sequence_Nb2O5,0.0002554984974906306
HTL_stack_sequence_ PEDOT:PSS,0.00025536883053728804
Perovskite_deposition_synthesis_atmosphere_Air >> Ar,0.0002552124571019422
ETL_stack_sequence_F8TBT,0.00024640411276342044
HTL_deposition_procedure_Electropolymerization,0.000245824074462162
Perovskite_composition_perovskite_ABC3_structure_True,0.00024525589715124424
HTL_stack_sequence_YC03,0.0002440695337417698
Perovskite_deposition_thermal_annealing_atmosphere_Unknown,0.00024355892298508187
avg_group,0.0002435376946168385
Perovskite_composition_c_ions_ I,0.00024337940242110154
Perovskite_deposition_synthesis_atmosphere_Ambient,0.00024297215164092507
avg_valence_f,0.00024277789174950097
Perovskite_composition_b_ions_coefficients_ 1,0.00024146438121005342
avg_Number_of_unfilled_p_valence_electrons,0.00024140697287858759
ETL_deposition_thermal_annealing_temperature_ 500,0.00024138010796327864
HTL_stack_sequence_PTAA ,0.00024099399973141072
Perovskite_deposition_thermal_annealing_time_3.0; 5.0 >> 5.0,0.000239420467393452
HTL_deposition_reaction_solutions_concentrations_100 mg/ml,0.00023914556770246494
Perovskite_pl_max_790.0,0.00023891172193794588
ETL_stack_sequence_PCBM-60; F8TBT,0.00023862940357945636
Perovskite_additives_concentrations_5 mol%,0.0002382937426249158
dev_Number_of_unfilled_f_valence_electrons,0.00023778319967404752
Perovskite_band_gap_1.57,0.0002377720577345039
Perovskite_deposition_thermal_annealing_temperature_25.0,0.00023752902676894453
Perovskite_deposition_thermal_annealing_temperature_105,0.00023608330857725844
ETL_stack_sequence_ TiO2-nw,0.00023566953442828736
Perovskite_additives_concentrations_1 mol%,0.0002337439144386775
ETL_deposition_procedure_Unknown ,0.00023203777242434764
Perovskite_composition_b_ions_Pb,0.00023148012349852342
ETL_stack_sequence_ TiO2-c,0.00023084223251138329
Perovskite_additives_compounds_H2O,0.0002302922230604526
Perovskite_deposition_thermal_annealing_time_240.0,0.00023006682288507745
Encapsulation_edge_sealing_materials_Unknown,0.00022830905263816442
ETL_deposition_solvents_ Water,0.00022809053608668068
Perovskite_pl_max_763.0,0.00022775961319802644
Perovskite_additives_compounds_PAA,0.00022763746565596
avg_l_quantum_number,0.00022737055255180969
ETL_stack_sequence_ bis-C60,0.00022712930045569994
HTL_deposition_procedure_Unknown,0.00022644467415568867
ETL_stack_sequence_ PN4N,0.00022559614231554422
Perovskite_additives_compounds_Rb,0.00022488106246864722
dev_valence_f,0.00022378701618610796
Perovskite_additives_concentrations_0.66,0.00022373407912056235
Perovskite_deposition_procedure_Unknown,0.0002230239357167424
dev_Number_of_unfilled_s_valence_electrons,0.00022275082831685832
avg_Number_of_unfilled_s_valence_electrons,0.0002220555131355664
Module_True,0.00022138821159570912
Perovskite_deposition_solvents_acetonitrile,0.00022134013964708843
HTL_deposition_procedure_ Evaporation,0.0002206192860298658
HTL_deposition_aggregation_state_of_reactants_Unknown,0.00022025368036731916
Perovskite_deposition_thermal_annealing_temperature_210.0,0.00021978916131349066
Perovskite_deposition_synthesis_atmosphere_Ar >> Ar,0.00021907886857026727
Perovskite_deposition_thermal_annealing_time_Unknown >> 120.0,0.0002187962747745843
Perovskite_additives_concentrations_0.2,0.0002184537068829442
Perovskite_deposition_thermal_annealing_time_20.0 >> 20.0,0.00021817316019097501
